"Freq [GHz]","dB(St(Feed,Feed)) []"
1.3975875,-18.4990522442284
1.3976,-18.4607407793804
1.3976125,-18.4225453163128
1.397625,-18.3844659253573
1.3976375,-18.3465026571237
1.39765,-18.3086555431708
1.3976625,-18.2709245966621
1.397675,-18.2333098129998
1.3976875,-18.1958111704418
1.3977,-18.1584286306983
1.3977125,-18.1211621395163
1.397725,-18.0840116272393
1.3977375,-18.0469770093595
1.39775,-18.0100581870444
1.3977625,-17.9732550476573
1.397775,-17.9365674652554
1.3977875,-17.8999953010752
1.3978,-17.8635384040063
1.3978125,-17.827196611046
1.397825,-17.7909697477448
1.3978375,-17.7548576286367
1.39785,-17.7188600576555
1.3978625,-17.6829768285425
1.397875,-17.647207725237
1.3978875,-17.611552522257
1.3979,-17.5760109850719
1.3979125,-17.5405828704573
1.397925,-17.5052679268446
1.3979375,-17.4700658946573
1.39795,-17.4349765066365
1.3979625,-17.3999994881602
1.397975,-17.3651345575477
1.3979875,-17.330381426357
1.398,-17.295739799676
1.3980125,-17.2612093763987
1.398025,-17.2267898494979
1.3980375,-17.192480906287
1.39805,-17.1582822286748
1.3980625,-17.1241934934108
1.398075,-17.0902143723246
1.3980875,-17.0563445325579
1.3981,-17.0225836367858
1.3981125,-16.9889313434377
1.398125,-16.9553873069037
1.3981375,-16.9219511777402
1.39815,-16.8886226028658
1.3981625,-16.8554012257523
1.398175,-16.8222866866113
1.3981875,-16.7892786225696
1.3982,-16.7563766678437
1.3982125,-16.7235804539087
1.398225,-16.6908896096589
1.3982375,-16.6583037615649
1.39825,-16.6258225338264
1.3982625,-16.5934455485173
1.398275,-16.5611724257289
1.3982875,-16.5290027837077
1.3983,-16.496936238988
1.3983125,-16.4649724065197
1.398325,-16.4331108997936
1.3983375,-16.4013513309614
1.39835,-16.3696933109522
1.3983625,-16.3381364495834
1.398375,-16.3066803556721
1.3983875,-16.2753246371363
1.3984,-16.2440689010996
1.3984125,-16.2129127539881
1.398425,-16.1818558016238
1.3984375,-16.150897649318
1.39845,-16.1200379019574
1.3984625,-16.0892761640918
1.398475,-16.0586120400142
1.3984875,-16.0280451338412
1.3985,-15.99757504959
1.3985125,-15.9672013912511
1.398525,-15.9369237628607
1.3985375,-15.9067417685691
1.39855,-15.8766550127075
1.3985625,-15.8466630998505
1.398575,-15.8167656348801
1.3985875,-15.7869622230431
1.3986,-15.7572524700083
1.3986125,-15.7276359819239
1.398625,-15.6981123654676
1.3986375,-15.6686812279005
1.39865,-15.6393421771128
1.3986625,-15.6100948216748
1.398675,-15.5809387708804
1.3986875,-15.5518736347911
1.3987,-15.5228990242784
1.3987125,-15.4940145510641
1.398725,-15.4652198277587
1.3987375,-15.436514467899
1.39875,-15.4078980859843
1.3987625,-15.3793702975094
1.398775,-15.3509307189996
1.3987875,-15.3225789680404
1.3988,-15.2943146633078
1.3988125,-15.2661374245991
1.398825,-15.2380468728582
1.3988375,-15.2100426302037
1.39885,-15.1821243199539
1.3988625,-15.1542915666508
1.398875,-15.126543996083
1.3988875,-15.0988812353081
1.3989,-15.0713029126742
1.3989125,-15.0438086578381
1.398925,-15.0163981017873
1.3989375,-14.9890708768553
1.39895,-14.9618266167407
1.3989625,-14.9346649565219
1.398975,-14.907585532675
1.3989875,-14.8805879830858
1.399,-14.853671947066
1.3990125,-14.826837065364
1.399025,-14.80008298018
1.3990375,-14.7734093351754
1.39905,-14.746815775485
1.3990625,-14.7203019477261
1.399075,-14.6938675000101
1.3990875,-14.6675120819502
1.3991,-14.6412353446684
1.3991125,-14.615036940806
1.399125,-14.5889165245302
1.3991375,-14.5628737515394
1.39915,-14.5369082790706
1.3991625,-14.511019765904
1.399175,-14.4852078723698
1.3991875,-14.4594722603508
1.3992,-14.433812593288
1.3992125,-14.4082285361843
1.399225,-14.3827197556065
1.3992375,-14.3572859196895
1.39925,-14.3319266981384
1.3992625,-14.3066417622307
1.399275,-14.2814307848172
1.3992875,-14.256293440324
1.3993,-14.2312294047537
1.3993125,-14.2062383556855
1.399325,-14.1813199722759
1.3993375,-14.156473935258
1.39935,-14.1316999269422
1.3993625,-14.106997631214
1.399375,-14.0823667335355
1.3993875,-14.0578069209416
1.3994,-14.0333178820405
1.3994125,-14.0088993070111
1.399425,-13.9845508876005
1.3994375,-13.9602723171237
1.39945,-13.9360632904595
1.3994625,-13.9119235040475
1.399475,-13.8878526558874
1.3994875,-13.8638504455339
1.3995,-13.8399165740943
1.3995125,-13.8160507442251
1.399525,-13.7922526601283
1.3995375,-13.7685220275479
1.39955,-13.744858553764
1.3995625,-13.721261947592
1.399575,-13.697731919376
1.3995875,-13.6742681809848
1.3996,-13.6508704458078
1.3996125,-13.6275384287499
1.399625,-13.6042718462272
1.3996375,-13.5810704161609
1.39965,-13.5579338579735
1.3996625,-13.5348618925829
1.399675,-13.5118542423977
1.3996875,-13.4889106313108
1.3997,-13.4660307846949
1.3997125,-13.4432144293967
1.399725,-13.4204612937304
1.3997375,-13.3977711074736
1.39975,-13.3751436018595
1.3997625,-13.3525785095728
1.399775,-13.3300755647418
1.3997875,-13.3076345029346
1.3998,-13.2852550611507
