500000000	56.445
595000000	55.981
690000000	55.621
785000000	55.328
880000000	55.08
975000000	54.864
1070000000	54.671
1165000000	54.495
1260000000	54.333
1355000000	54.181
1450000000	54.036
1545000000	53.898
1640000000	53.765
1735000000	53.636
1830000000	53.51
1925000000	53.386
2020000000	53.265
2115000000	53.145
2210000000	53.026
2305000000	52.908
2400000000	52.791
2495000000	52.674
2590000000	52.558
2685000000	52.442
2780000000	52.326
2875000000	52.211
2970000000	52.095
3065000000	51.979
3160000000	51.862
3255000000	51.746
3350000000	51.629
3445000000	51.512
3540000000	51.395
3635000000	51.277
3730000000	51.159
3825000000	51.04
3920000000	50.921
4015000000	50.802
4110000000	50.682
4205000000	50.562
4300000000	50.441
4395000000	50.32
4490000000	50.199
4585000000	50.077
4680000000	49.955
4775000000	49.832
4870000000	49.709
4965000000	49.586
5060000000	49.462
5155000000	49.337
5250000000	49.213
5345000000	49.088
5440000000	48.962
5535000000	48.837
5630000000	48.711
5725000000	48.585
5820000000	48.458
5915000000	48.331
6010000000	48.204
6105000000	48.076
6200000000	47.949
6295000000	47.821
6390000000	47.693
6485000000	47.564
6580000000	47.436
6675000000	47.307
6770000000	47.178
6865000000	47.049
6960000000	46.92
7055000000	46.79
7150000000	46.66
7245000000	46.531
7340000000	46.401
7435000000	46.271
7530000000	46.141
7625000000	46.011
7720000000	45.881
7815000000	45.751
7910000000	45.62
8005000000	45.49
8100000000	45.36
8195000000	45.229
8290000000	45.099
8385000000	44.969
8480000000	44.838
8575000000	44.708
8670000000	44.578
8765000000	44.448
8860000000	44.318
8955000000	44.188
9050000000	44.058
9145000000	43.928
9240000000	43.798
9335000000	43.668
9430000000	43.538
9525000000	43.409
9620000000	43.28
9715000000	43.15
9810000000	43.021
9905000000	42.892
10000000000	42.764
